event_key,symbol,period_ended,prior_earnings_count,prior_abn_ret_1d_mean_2,prior_abn_ret_1d_mean_4,prior_abn_ret_1d_mean_8,prior_abn_ret_3d_mean_2,prior_abn_ret_3d_mean_4,prior_abn_ret_3d_mean_8,prior_abn_ret_5d_mean_2,prior_abn_ret_5d_mean_4,prior_abn_ret_5d_mean_8,prior_abn_ret_1d_median_4,prior_abn_ret_1d_median_8,prior_abn_ret_3d_median_4,prior_abn_ret_3d_median_8,prior_abn_ret_1d_std_4,prior_abn_ret_1d_std_8,prior_abn_ret_3d_std_4,prior_abn_ret_3d_std_8,prior_positive_rate_4,prior_positive_rate_8,prior_negative_rate_4,prior_negative_rate_8,prior_neutral_rate_4,prior_neutral_rate_8,prior_reaction_streak,prior_reaction_trend_4,prior_reaction_trend_8,prior_avg_reaction_magnitude_4,prior_avg_reaction_magnitude_8,prior_days_since_last,prior_last_reaction_class,prior_last_abn_ret_1d,prior_last_abn_ret_3d,prior_last_abn_ret_5d,prior_abn_ret_5d_median_4,prior_abn_ret_5d_std_4,prior_abn_ret_5d_median_8,prior_abn_ret_5d_std_8,prior_avg_reaction_magnitude_2
ADANIENT_2015-12-31,ADANIENT,2015-12-31,36,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,92.0,,,,,,,,,
ADANIENT_2016-03-31,ADANIENT,2016-03-31,37,-0.0012638005430305466,-0.0012638005430305466,-0.0012638005430305466,0.044874828799474464,0.044874828799474464,0.044874828799474464,0.021456215887686092,0.021456215887686092,0.021456215887686092,-0.0012638005430305466,-0.0012638005430305466,0.044874828799474464,0.044874828799474464,,,,,0.25,0.125,0.0,0.0,0.0,0.0,1.0,,,0.021456215887686092,0.021456215887686092,91.0,POSITIVE,-0.0012638005430305466,0.044874828799474464,0.021456215887686092,0.021456215887686092,,0.021456215887686092,,0.021456215887686092
ADANIENT_2016-06-30,ADANIENT,2016-06-30,38,-0.0035198651688627125,-0.0035198651688627125,-0.0035198651688627125,0.00135260708871493,0.00135260708871493,0.00135260708871493,-0.014406956459741105,-0.014406956459741105,-0.014406956459741105,-0.0035198651688627125,-0.0035198651688627125,0.00135260708871493,0.00135260708871493,0.003190557191442031,0.003190557191442031,0.0615497162079649,0.0615497162079649,0.25,0.125,0.25,0.125,0.0,0.0,1.0,-1.9999999999999996,-1.9999999999999996,0.0358631723474272,0.0358631723474272,91.0,NEGATIVE,-0.0057759297946948784,-0.042169614622044604,-0.0502701288071683,-0.014406956459741105,0.05071818472345529,-0.014406956459741105,0.05071818472345529,0.0358631723474272
ADANIENT_2016-09-30,ADANIENT,2016-09-30,39,-0.010039589259992654,-0.007114326354338618,-0.007114326354338618,-0.023852963473982525,-0.000943699382830195,-0.000943699382830195,-0.023709967643503693,-0.008654573133107099,-0.008654573133107099,-0.0057759297946948784,-0.0057759297946948784,-0.005536312325920445,-0.005536312325920445,0.006621954487733194,0.006621954487733194,0.043703579405745346,0.043703579405745346,0.25,0.125,0.25,0.125,0.25,0.125,1.0,-0.4999999999999999,-0.4999999999999999,0.02485884607167177,0.02485884607167177,92.0,NEUTRAL,-0.01430324872529043,-0.005536312325920445,0.002850193520160915,0.002850193520160915,0.037221457153513986,0.002850193520160915,0.037221457153513986,0.02656016116366461
ADANIENT_2016-12-31,ADANIENT,2016-12-31,40,-0.010616282279964306,-0.0070680737244135095,-0.0070680737244135095,-0.008315733197433839,-0.0034815630543594545,-0.0034815630543594545,-0.014498211210561995,-0.01445258383515155,-0.01445258383515155,-0.006352622814666531,-0.006352622814666531,-0.008315733197433839,-0.008315733197433839,0.005407594478894766,0.005407594478894765,0.03604300547000205,0.03604300547000205,0.25,0.125,0.25,0.125,0.5,0.25,2.0,-0.2000000000000002,-0.2000000000000002,0.026605788539075054,0.026605788539075054,92.0,NEUTRAL,-0.006929315834638183,-0.011095154068947233,-0.031846615941284906,-0.014498211210561995,0.03252833063896773,-0.014498211210561995,0.03252833063896773,0.01734840473072291
ADANIENT_2017-03-31,ADANIENT,2017-03-31,41,-0.008562336949184013,-0.009300963104588333,-0.007693530592276776,0.004429063744155415,-0.009711949864913555,0.0012054058679640488,-0.01277164010143439,-0.01824080387246904,-0.010301399920438015,-0.008562336949184013,-0.006929315834638183,-0.008315733197433839,-0.005536312325920445,0.0038241937879306058,0.004887488107803077,0.025513886150776863,0.03292661645048091,0.0,0.125,0.25,0.125,0.75,0.375,3.0,0.30000000000000004,-0.10000000000000007,0.022817568501757562,0.02254529797894327,90.0,NEUTRAL,-0.010195358063729842,0.019953281557258062,0.006303335738416127,-0.014498211210561995,0.027436233573379012,0.002850193520160915,0.029660257249177504,0.019074975839850516
ADANIENT_2017-06-30,ADANIENT,2017-06-30,42,-0.025433304546606417,-0.01802479341328536,-0.013189817331811146,0.01194110070526555,0.0018126837539158558,0.0016593248655155473,0.0060353434991204935,-0.004231433855720751,-0.0076232747237275356,-0.012249303394510136,-0.008562336949184013,-0.0008036962363237032,-0.0008036962363237032,0.015396120918574596,0.014155035836839878,0.013591415973984349,0.02947144230335008,0.0,0.125,0.0,0.125,1.0,0.5,4.0,0.0,-0.05714285714285713,0.011691874114921702,0.019748973525756868,91.0,NEUTRAL,-0.04067125102948299,0.0039289198532730385,0.00576735125982486,0.004308772389992888,0.01847254541292841,0.004308772389992888,0.027327985939059662,0.0060353434991204935
ADANIENT_2017-09-30,ADANIENT,2017-09-30,43,-0.03224259875116098,-0.020402467850172495,-0.014707550066243691,-0.02022924479917121,-0.007900090527507897,-0.004918780036931739,-0.04055844074555792,-0.026665040423496156,-0.01894626872761513,-0.017004652268284404,-0.010195358063729842,-0.003583117107837097,-0.005536312325920445,0.015364164728234769,0.013531276911561637,0.027430328083980424,0.03204224047960678,0.0,0.125,0.25,0.25,0.75,0.5,1.0,-0.29999999999999993,-0.14285714285714288,0.03270038392261665,0.029339724843640273,92.0,NEGATIVE,-0.023813946472838965,-0.044387409451615456,-0.0868842327509407,-0.013039632340730023,0.04393925240780351,0.002850193520160915,0.038984873545890295,0.04632579200538278
ADANIENT_2017-12-31,ADANIENT,2017-12-31,44,-0.023379315392786815,-0.024406309969696616,-0.015737191847055063,0.014981092835890775,0.013461096770578163,0.004989766858109354,-0.016443239187648118,-0.005203947844263812,-0.009828265839707681,-0.023379315392786815,-0.012249303394510136,0.01194110070526555,-0.0008036962363237032,0.012503155679341174,0.012861580730246526,0.04894510450115721,0.04081013868724728,0.25,0.25,0.25,0.25,0.5,0.5,1.0,0.19999999999999996,-2.866583523299506e-17,0.03823816853120654,0.0324219785351408,92.0,POSITIVE,-0.022944684312734664,0.074349595123397,0.05399775437564447,0.0060353434991204935,0.05896127957582047,0.004308772389992888,0.04435997050996073,0.07044099356329259
ADANIENT_2018-03-31,ADANIENT,2018-03-31,45,-0.0034489994227570597,-0.01784579908695902,-0.013573381095773676,0.07147923450145865,0.025624994851143723,0.007956522493115084,0.054471672561066886,0.006956615907754482,-0.00564209398235728,-0.023379315392786815,-0.012249303394510136,0.03626889686639667,-0.0008036962363237032,0.024023038798904345,0.016566838640209483,0.05655132463695617,0.044792268844808164,0.5,0.25,0.25,0.25,0.25,0.5,2.0,0.4999999999999999,0.19047619047619055,0.050398732283224834,0.0366081503924912,90.0,POSITIVE,0.016046685467220545,0.0686088738795203,0.0549455907464893,0.029882552817734664,0.0666416527451485,0.004308772389992888,0.049064666231785375,0.054471672561066886
ADANIENT_2018-06-30,ADANIENT,2018-06-30,46,0.0050754146122309884,-0.009151950390277913,-0.013588371901781637,0.03662148315993474,0.02580128799791276,0.013806985875914307,0.0159042139875315,-0.00026951260005830813,-0.0022504732278895295,-0.014420270277746616,-0.012249303394510136,0.03662148315993474,0.004281506146811109,0.01871529709762437,0.016558827343733425,0.05646217303409159,0.04012305532960701,0.5,0.25,0.25,0.125,0.25,0.625,1.0,0.3000000000000002,0.08333333333333336,0.054741185161125194,0.03321652963802345,91.0,NEUTRAL,-0.005895856242758568,0.00463409244034918,-0.0231371627714263,0.015430295802109084,0.06835857194177838,0.004308772389992888,0.04640471268544072,0.0390413767589578
ADANIENT_2018-09-30,ADANIENT,2018-09-30,47,-0.004555603728897573,-0.004002301575827316,-0.012202384712999906,0.007925258327541762,0.03970224641450021,0.015901077943496156,-0.006804213929603398,0.023833729315731744,-0.0014156555538822058,-0.004555603728897573,-0.008562336949184013,0.039912649047127324,0.007925258327541762,0.015968516789303385,0.016949859529094,0.036865744594446054,0.03939993298503028,0.5,0.25,0.0,0.125,0.5,0.625,2.0,-0.39999999999999997,0.05952380952380952,0.035402310701444895,0.03405134731203077,92.0,NEUTRAL,-0.003215351215036577,0.011216424214734344,0.009528734912219505,0.03176324464393199,0.037809672033531604,0.0060353434991204935,0.04656936315812112,0.016332948841822903
ADANIENT_2018-12-31,ADANIENT,2018-12-31,48,-0.021665284517003836,-0.008294934952386424,-0.01635062246104152,-0.026068839325551874,0.005276321917191434,0.009368709343884798,-0.03704156124492458,-0.01056867362869654,-0.007886310736480176,-0.004555603728897573,-0.016570021188232253,0.007925258327541762,0.007925258327541762,0.02335667382114034,0.01936396561983759,0.05402729130716056,0.047925083591335134,0.25,0.25,0.25,0.25,0.5,0.5,1.0,-0.6,-0.04761904761904764,0.042805836458050944,0.04052200249462874,92.0,NEGATIVE,-0.040115217818971094,-0.06335410286583809,-0.08361185740206867,-0.006804213929603398,0.05827892209528175,0.0060353434991204935,0.054348289912513434,0.04657029615714409
ADANIENT_2019-03-31,ADANIENT,2019-03-31,49,-0.02256106072528058,-0.013558332227089076,-0.015702065657024047,-0.016289152859934375,-0.004181947266196306,0.010721523792473708,-0.029166108072600394,-0.017985161001101896,-0.005514272546673707,-0.005451379937174317,-0.014420270277746616,0.007925258327541762,0.007925258327541762,0.017739653301669954,0.019683821570519372,0.04098056569101441,0.04841676929745782,0.25,0.375,0.25,0.25,0.5,0.375,1.0,0.19999999999999996,0.03571428571428571,0.03538934908564559,0.04289404068443521,90.0,POSITIVE,-0.005006903631590065,0.03077579714596934,0.02527964125686788,-0.006804213929603398,0.04817421158495626,0.007648043086022183,0.05545883685614248,0.054445749329468274
ADANIENT_2019-06-30,ADANIENT,2019-06-30,50,0.005206268461180219,-0.008229508027911808,-0.00869072920909486,0.01249770631533037,-0.006785566505110752,0.009507860746401003,-0.00456570703833914,-0.02080363414163186,-0.010536573370845084,-0.004111127423313321,-0.005451379937174317,0.0027180198497128716,0.007925258327541762,0.023176843368230834,0.0195081925710615,0.04056245146287234,0.048732028966043575,0.25,0.375,0.25,0.25,0.5,0.375,1.0,0.2,0.011904761904761947,0.03820782222617555,0.046474503693650374,91.0,NEUTRAL,0.015419440553950503,-0.005780384515308601,-0.03441105533354616,-0.012441160210663327,0.04890042843881856,-0.006804213929603398,0.056106708375617556,0.02984534829520702
ADANIENT_2019-09-30,ADANIENT,2019-09-30,51,0.004945225134794118,-0.00880791779524323,-0.0064051096855352735,0.011172407884846858,-0.0025583724875437586,0.018571936963478225,-0.010694443040627166,-0.01993027555661378,0.001951726879558982,-0.005267946957976166,-0.005267946957976166,0.011172407884846858,0.01967081224986833,0.02303845337437579,0.01852981952536151,0.043814574047841205,0.04376613154101445,0.5,0.5,0.25,0.125,0.25,0.375,1.0,0.5000000000000001,-0.03571428571428575,0.03908118081119363,0.037241745756319264,92.0,POSITIVE,-0.005528990284362267,0.028125200285002316,0.013022169252291826,-0.010694443040627166,0.04964821932507847,0.011275452082255666,0.047077636773489556,0.023716612292918993
ADANIENT_2019-12-31,ADANIENT,2019-12-31,52,-0.001534778920091684,0.0018357447705442675,-0.003229595090921078,0.0042512475424358875,0.008374476928883129,0.006825399423037282,0.010206533186389977,0.0028204130740254185,-0.0038741302773355607,-0.0012737355937055828,-0.004111127423313321,0.011172407884846858,0.007925258327541762,0.009763314618758201,0.01743490307356891,0.025007415768313043,0.03900943892581295,0.5,0.375,0.0,0.125,0.5,0.5,1.0,-0.2,-4.028063403910693e-17,0.020025940740798498,0.03141588859942472,92.0,NEUTRAL,0.0024594324441788995,-0.01962270520013054,0.007390897120488127,0.010206533186389977,0.02592016154716088,0.008459816016353816,0.04236473919786616,0.010206533186389977
ADANIENT_2020-03-31,ADANIENT,2020-03-31,53,0.01276025367236161,0.008852739403577864,-0.002352796411755606,0.007582544105592892,0.009377475995219875,0.0025977643645117843,0.03771425535392081,0.013509906156646823,-0.0022376274222275366,0.008939436499064701,-0.004111127423313321,0.011172407884846858,0.007925258327541762,0.012815444904316825,0.0186750599362085,0.02625473063311491,0.03267561094255246,0.5,0.375,0.0,0.125,0.5,0.5,1.0,0.2000000000000001,0.14285714285714288,0.030715433823419902,0.033052391454532745,91.0,POSITIVE,0.02306107490054432,0.034787793411316326,0.0680376135873535,0.010206533186389977,0.04206094620375598,0.008459816016353816,0.045124450266068726,0.03771425535392081
