event_key,symbol,feature_cutoff_date,val_market_cap,val_pe,val_earnings_yield,val_pb,val_ps,val_ev,val_ev_ebitda,val_pcf
ADANIENT_2015-12-31,ADANIENT,2016-01-31,,,,,,,,
ADANIENT_2016-03-31,ADANIENT,2016-05-03,,,,,,,,
ADANIENT_2016-06-30,ADANIENT,2016-08-09,,,,,,,,
ADANIENT_2016-09-30,ADANIENT,2016-10-24,,,,,,,,
ADANIENT_2016-12-31,ADANIENT,2017-02-14,,,,,,,,
ADANIENT_2017-03-31,ADANIENT,2017-05-24,,,,,,,,
ADANIENT_2017-06-30,ADANIENT,2017-08-09,,,,,,,,
ADANIENT_2017-09-30,ADANIENT,2017-11-13,,,,,,,,
ADANIENT_2017-12-31,ADANIENT,2018-01-17,,,,,,,,
ADANIENT_2018-03-31,ADANIENT,2018-05-10,,,,,,,,
ADANIENT_2018-06-30,ADANIENT,2018-08-07,,,,,,,,
ADANIENT_2018-09-30,ADANIENT,2018-10-30,,,,,,,,
ADANIENT_2018-12-31,ADANIENT,2019-02-06,,,,,,,,
ADANIENT_2019-03-31,ADANIENT,2019-05-28,,,,,,,,
ADANIENT_2019-06-30,ADANIENT,2019-08-07,,,,,,,,
ADANIENT_2019-09-30,ADANIENT,2019-11-12,,,,,,,,
ADANIENT_2019-12-31,ADANIENT,2020-02-04,,,,,,,,
ADANIENT_2020-03-31,ADANIENT,2020-05-05,,,,,,,,
ADANIENT_2020-06-30,ADANIENT,2020-08-06,,,,,,,,
ADANIENT_2020-09-30,ADANIENT,2020-11-03,,,,,,,,
ADANIENT_2020-12-31,ADANIENT,2021-02-02,,,,,,,,
ADANIENT_2021-03-31,ADANIENT,2021-05-04,,,,,,,,
ADANIENT_2021-06-30,ADANIENT,2021-08-04,,,,,,,,
ADANIENT_2021-09-30,ADANIENT,2021-10-27,,,,,,,,
ADANIENT_2021-12-31,ADANIENT,2022-02-14,,,,,,,,
ADANIENT_2022-03-31,ADANIENT,2022-05-03,,,,,,,,
ADANIENT_2022-12-31,ADANIENT,2023-02-13,,,,,,,,
ADANIENT_2023-03-31,ADANIENT,2023-05-03,,,,,,,,
ADANIENT_2023-06-30,ADANIENT,2023-08-02,2908610322486.208,117.14463324943662,0.008536455937086723,8.800367439561478,,3419913022486.208,,
ADANIENT_2023-09-30,ADANIENT,2023-11-02,2604938029241.958,104.9141948352232,0.00953159867042383,7.881568609376713,,3116240729241.958,,
ADANIENT_2023-12-31,ADANIENT,2024-01-31,3694630572598.0,148.80169408502846,0.006720353596435392,11.178570859401876,,4205933272598.0,,
ADANIENT_2024-03-31,ADANIENT,2024-05-01,3591975757388.042,144.66725896111672,0.006912414095498812,10.867975766513768,,4103278457388.042,,
ADANIENT_2024-06-30,ADANIENT,2024-07-31,3726849820748.6,120.01333498329265,0.008332407395721587,9.537417435440956,,4356885820748.6,,
ADANIENT_2024-09-30,ADANIENT,2024-10-28,3290890468491.85,105.97441785542752,0.009436239615528915,8.421749638952745,,3920926468491.85,,
