feature_name,feature_group,description,point_in_time_rule,expected_dtype,missing_pct,is_target
distance_from_200dma,market_ma_distance,distance_from_200dma,Price data up to feature_cutoff_date only,float64,8.09,False
distance_from_20dma,market_ma_distance,distance_from_20dma,Price data up to feature_cutoff_date only,float64,1.11,False
distance_from_50dma,market_ma_distance,distance_from_50dma,Price data up to feature_cutoff_date only,float64,2.54,False
drawdown_from_20d_high,market_drawdown,drawdown_from_20d_high,Price data up to feature_cutoff_date only,float64,1.11,False
drawdown_from_252d_high,market_drawdown,drawdown_from_252d_high,Price data up to feature_cutoff_date only,float64,10.36,False
drawdown_from_60d_high,market_drawdown,drawdown_from_60d_high,Price data up to feature_cutoff_date only,float64,2.59,False
fund_a_capex,fundamental_cashflow,fund_a_capex,Fundamental report period_end_date <= feature_cutoff_date,float64,76.48,False
fund_a_cash,fundamental_balance,fund_a_cash,Fundamental report period_end_date <= feature_cutoff_date,float64,76.27,False
fund_a_current_assets,fundamental_balance,fund_a_current_assets,Fundamental report period_end_date <= feature_cutoff_date,float64,81.08,False
fund_a_current_liabilities,fundamental_balance,fund_a_current_liabilities,Fundamental report period_end_date <= feature_cutoff_date,float64,81.08,False
fund_a_eps_diluted,fundamental_income,fund_a_eps_diluted,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_equity,fundamental_balance,fund_a_equity,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_free_cash_flow,fundamental_balance,fund_a_free_cash_flow,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_gross_profit,fundamental_income,fund_a_gross_profit,Fundamental report period_end_date <= feature_cutoff_date,float64,81.03,False
fund_a_long_term_debt,fundamental_balance,fund_a_long_term_debt,Fundamental report period_end_date <= feature_cutoff_date,float64,81.08,False
fund_a_net_income,fundamental_income,fund_a_net_income,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_operating_cash_flow,fundamental_balance,fund_a_operating_cash_flow,Fundamental report period_end_date <= feature_cutoff_date,float64,77.27,False
fund_a_operating_income,fundamental_income,fund_a_operating_income,Fundamental report period_end_date <= feature_cutoff_date,float64,81.03,False
fund_a_revenue,fundamental_income,fund_a_revenue,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_shares_outstanding,fundamental_balance,fund_a_shares_outstanding,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_total_assets,fundamental_balance,fund_a_total_assets,Fundamental report period_end_date <= feature_cutoff_date,float64,76.32,False
fund_a_total_debt,fundamental_balance,fund_a_total_debt,Fundamental report period_end_date <= feature_cutoff_date,float64,76.8,False
fund_asset_turnover,fundamental_balance,Asset turnover,Fundamental report period_end_date <= feature_cutoff_date,float64,94.08,False
fund_capex,fundamental_cashflow,Quarterly capex,Fundamental report period_end_date <= feature_cutoff_date,float64,98.94,False
fund_cash,fundamental_balance,Quarterly cash,Fundamental report period_end_date <= feature_cutoff_date,float64,93.34,False
fund_cash_and_sti,fundamental_balance,Quarterly cash,Fundamental report period_end_date <= feature_cutoff_date,float64,94.66,False
fund_cash_to_debt,fundamental_balance,Quarterly cash,Fundamental report period_end_date <= feature_cutoff_date,float64,93.66,False
fund_cf_net_income,fundamental_income,fund_cf_net_income,Fundamental report period_end_date <= feature_cutoff_date,float64,98.94,False
fund_change_in_working_capital,fundamental_balance,fund_change_in_working_capital,Fundamental report period_end_date <= feature_cutoff_date,float64,98.94,False
fund_cost_of_revenue,fundamental_income,fund_cost_of_revenue,Fundamental report period_end_date <= feature_cutoff_date,float64,91.91,False
fund_current_assets,fundamental_balance,fund_current_assets,Fundamental report period_end_date <= feature_cutoff_date,float64,95.4,False
fund_current_debt,fundamental_balance,fund_current_debt,Fundamental report period_end_date <= feature_cutoff_date,float64,95.61,False
fund_current_liabilities,fundamental_balance,fund_current_liabilities,Fundamental report period_end_date <= feature_cutoff_date,float64,95.4,False
fund_current_ratio,fundamental_derived,Current ratio,Fundamental report period_end_date <= feature_cutoff_date,float64,95.4,False
