feature_name,feature_group,dtype,train_missing_pct,validation_missing_pct,test_missing_pct,overall_missing_pct,train_unique_count,validation_unique_count,test_unique_count,overall_unique_count,train_variance,validation_variance,test_variance,infinite_count,constant_flag,near_constant_flag,extreme_value_flag,coverage_shift_flag,distribution_shift_flag,usability_status,usability_reason
distance_from_200dma,market_ma_distance,float64,13.13,0.84,0.0,8.09,992,353,389,1734,0.032454,0.021328,0.213963,0,False,False,True,False,True,CORE,
distance_from_20dma,market_ma_distance,float64,1.84,0.0,0.0,1.11,1121,356,389,1866,0.002862,0.002185,0.010676,0,False,False,True,False,True,CORE,
distance_from_50dma,market_ma_distance,float64,4.12,0.28,0.0,2.54,1095,355,389,1839,0.006361,0.005326,0.051129,0,False,False,True,False,True,CORE,
drawdown_from_20d_high,market_drawdown,float64,1.84,0.0,0.0,1.11,883,287,341,1509,0.002154,0.002565,0.006668,0,False,False,True,False,False,CORE,
drawdown_from_252d_high,market_drawdown,float64,16.73,1.12,0.25,10.36,854,324,377,1553,0.014977,0.008597,0.034323,0,False,False,False,False,True,CORE,
drawdown_from_60d_high,market_drawdown,float64,4.2,0.28,0.0,2.59,930,307,365,1600,0.005555,0.004135,0.011803,0,False,False,True,False,False,CORE,
fund_a_capex,fundamental_cashflow,float64,100.0,45.22,36.55,76.48,0,49,139,187,,4.524080516093973e+22,5.994211120695374e+22,0,False,False,True,True,False,SPARSE_BUT_VALID,HIGH_MISSINGNESS (76.5%)
fund_a_cash,fundamental_balance,float64,100.0,44.38,36.29,76.27,0,50,140,189,,7.301340323772311e+23,1.0568995060338508e+24,0,False,False,True,True,False,SPARSE_BUT_VALID,HIGH_MISSINGNESS (76.3%)
fund_a_current_assets,fundamental_balance,float64,100.0,55.62,49.24,81.08,0,40,109,148,,5.757593947894012e+23,8.4484601094792e+23,0,False,False,True,True,False,SPARSE_BUT_VALID,HIGH_MISSINGNESS (81.1%)
fund_a_current_liabilities,fundamental_balance,float64,100.0,55.62,49.24,81.08,0,40,109,148,,5.101686118485959e+23,7.267255315213241e+23,0,False,False,True,True,False,SPARSE_BUT_VALID,HIGH_MISSINGNESS (81.1%)
