feature_name,feature_group,overall_missing_pct,train_missing_pct,validation_missing_pct,test_missing_pct,max_missingness_diff_pct,missingness_time_correlation,missingness_type,missingness_reason,informative_missing,missing_indicates_zero
fund_a_cash,fundamental_balance,76.27,100.0,44.38,36.29,63.71,-0.6131,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_current_assets,fundamental_balance,81.08,100.0,55.62,49.24,50.76,-0.5296,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_current_liabilities,fundamental_balance,81.08,100.0,55.62,49.24,50.76,-0.5296,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_equity,fundamental_balance,76.32,100.0,44.38,36.55,63.45,-0.6114,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_free_cash_flow,fundamental_balance,76.32,100.0,44.38,36.55,63.45,-0.6114,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_long_term_debt,fundamental_balance,81.08,100.0,54.49,50.25,49.75,-0.523,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_operating_cash_flow,fundamental_balance,77.27,100.0,46.63,39.09,60.91,-0.5952,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_shares_outstanding,fundamental_balance,76.32,100.0,44.38,36.55,63.45,-0.6114,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_total_assets,fundamental_balance,76.32,100.0,44.38,36.55,63.45,-0.6114,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_a_total_debt,fundamental_balance,76.8,100.0,45.51,37.82,62.18,-0.6033,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_asset_turnover,fundamental_balance,94.08,100.0,100.0,71.57,28.43,-0.3897,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
fund_cash,fundamental_balance,93.34,100.0,100.0,68.02,31.98,-0.412,EXPECTED_UNAVAILABLE,Fundamental data only available ~2022+ from yfinance; pre-2022 events have no fundamentals,True,False
