audit_item,feature,sensitivity,description,affects_targets,large_jumps_count,max_jump,extreme_low_pct,extreme_high_pct,mean,std,min,max,missing_pct
feature_sensitivity,distance_from_200dma,HIGH,HIGH,False,,,,,,,,,
feature_sensitivity,distance_from_20dma,HIGH,HIGH - Moving averages shift on split,False,,,,,,,,,
feature_sensitivity,distance_from_50dma,HIGH,HIGH,False,,,,,,,,,
feature_sensitivity,drawdown_from_20d_high,HIGH,HIGH - High/low prices affected,False,,,,,,,,,
feature_sensitivity,drawdown_from_252d_high,HIGH,HIGH,False,,,,,,,,,
feature_sensitivity,drawdown_from_60d_high,HIGH,HIGH,False,,,,,,,,,
feature_sensitivity,relative_return_10d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,relative_return_1d,HIGH,HIGH - Relative return vs benchmark affected,True,,,,,,,,,
feature_sensitivity,relative_return_20d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,relative_return_3d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,relative_return_5d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,relative_return_60d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,return_10d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,return_1d,HIGH,HIGH - Single day return directly affected by splits/bonuses,True,,,,,,,,,
feature_sensitivity,return_20d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,return_3d,HIGH,HIGH - Multi-day return compounds split effects,True,,,,,,,,,
feature_sensitivity,return_5d,HIGH,HIGH - Multi-day return compounds split effects,True,,,,,,,,,
feature_sensitivity,return_60d,HIGH,HIGH,True,,,,,,,,,
feature_sensitivity,valuation_features,HIGH,"HIGH - Valuation uses price (market cap, P/E, etc.)",False,,,,,,,,,
feature_sensitivity,volatility_20d,MEDIUM,MEDIUM,False,,,,,,,,,
feature_sensitivity,volatility_5d,MEDIUM,MEDIUM - Volatility calculation uses price changes,False,,,,,,,,,
feature_sensitivity,volatility_60d,MEDIUM,MEDIUM,False,,,,,,,,,
feature_sensitivity,volume_ratio_20d,LOW,LOW,False,,,,,,,,,
feature_sensitivity,volume_ratio_5d,LOW,LOW - Volume splits but ratio may be preserved,False,,,,,,,,,
feature_sensitivity,volume_zscore_20d,LOW,LOW,False,,,,,,,,,
feature_sensitivity,volume_zscore_5d,LOW,LOW,False,,,,,,,,,
target_sensitivity,abnormal_return_1d,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,abnormal_return_3d,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,abnormal_return_5d,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,benchmark_return_1d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,benchmark_return_3d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,benchmark_return_5d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,reaction_class,HIGH,HIGH - Derived from abnormal_return_3d,True,,,,,,,,,
target_sensitivity,return_1d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,return_3d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
target_sensitivity,return_5d_after,HIGH,HIGH - Target returns use raw prices,True,,,,,,,,,
ma_distance_jumps,distance_from_200dma_jumps,,Potential split indicator,,2.0,5.4176,,,,,,,
ma_distance_jumps,distance_from_20dma_jumps,,Potential split indicator,,2.0,1.1601,,,,,,,
ma_distance_jumps,distance_from_50dma_jumps,,Potential split indicator,,2.0,2.3883,,,,,,,
extreme_return_detection,return_10d,,Potential split indicator,,,,-80.22,101.25,,,,,
extreme_return_detection,return_1d,,Potential split indicator,,,,-12.98,16.81,,,,,
extreme_return_detection,return_3d,,Potential split indicator,,,,-16.78,18.35,,,,,
extreme_return_detection,return_5d,,Potential split indicator,,,,-17.85,20.79,,,,,
benchmark_integrity,benchmark_return_1d_after,,,,,,,,0.000423,0.008585,-0.051641,0.043942,
benchmark_integrity,benchmark_return_3d_after,,,,,,,,0.00068,0.014625,-0.054521,0.079124,
benchmark_integrity,benchmark_return_5d_after,,,,,,,,0.002499,0.019707,-0.064047,0.100613,
benchmark_integrity,relative_return_10d,,,,,,,,0.004992,0.11863,-0.798922,4.024781,
benchmark_integrity,relative_return_1d,,,,,,,,0.001146,0.02987,-0.212138,0.187228,
benchmark_integrity,relative_return_20d,,,,,,,,0.011391,0.343574,-9.001225,8.457109,
benchmark_integrity,relative_return_3d,,,,,,,,0.002242,0.037441,-0.19886,0.195353,
benchmark_integrity,relative_return_5d,,,,,,,,0.003274,0.043033,-0.23215,0.201118,
benchmark_integrity,relative_return_60d,,,,,,,,0.026924,0.293309,-0.936246,8.078934,
valuation_price_dependency,val_earnings_yield,,,,,,,,0.03,0.03,-0.05,0.22,69.7
valuation_price_dependency,val_ev,,,,,,,,5076207583081.18,6142562388853.63,556678254977.92,50065944473631.5,74.8
valuation_price_dependency,val_ev_ebitda,,,,,,,,282.96,952.33,-268.28,5051.55,95.8
valuation_price_dependency,val_market_cap,,,,,,,,4302688980068.04,5376452644478.77,561339054977.92,47955257073631.5,69.2
valuation_price_dependency,val_pb,,,,,,,,24.98,98.86,-27.16,771.65,74.2
valuation_price_dependency,val_pcf,,,,,,,,1161.9,2274.57,41.16,6684.54,98.9
valuation_price_dependency,val_pe,,,,,,,,181.09,749.52,-1755.73,7872.5,69.7
valuation_price_dependency,val_ps,,,,,,,,42.56,155.89,1.23,1306.47,89.4
