audit_item,detail,value,concern
total_events,canonical,3765,
unique_symbols,canonical,50,
symbol_lifecycle,ADANIENT,first=2006-06-30_last=2026-09-30_events=80,
symbol_lifecycle,ADANIPORTS,first=2008-03-31_last=2026-06-30_events=74,
symbol_lifecycle,APOLLOHOSP,first=2005-06-30_last=2026-06-30_events=83,
symbol_lifecycle,ASIANPAINT,first=2004-03-31_last=2026-06-30_events=86,
symbol_lifecycle,AXISBANK,first=2004-12-31_last=2026-06-30_events=83,
symbol_lifecycle,BAJAJ-AUTO,first=2008-06-30_last=2026-09-30_events=74,
symbol_lifecycle,BAJAJFINSV,first=2008-09-30_last=2026-06-30_events=71,
symbol_lifecycle,BAJFINANCE,first=2005-03-31_last=2026-06-30_events=83,
symbol_lifecycle,BEL,first=2005-06-30_last=2026-06-30_events=81,
symbol_lifecycle,BHARTIARTL,first=2005-03-31_last=2026-09-30_events=87,
symbol_lifecycle,CIPLA,first=2004-12-31_last=2026-09-30_events=82,
symbol_lifecycle,COALINDIA,first=2010-12-31_last=2026-09-30_events=64,
symbol_lifecycle,DRREDDY,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,EICHERMOT,first=2004-09-30_last=2026-09-30_events=84,
symbol_lifecycle,ETERNAL,first=2021-06-30_last=2026-09-30_events=22,POTENTIAL_INDEX_ADDITION
symbol_lifecycle,GRASIM,first=2004-12-31_last=2026-06-30_events=86,
symbol_lifecycle,HCLTECH,first=2004-09-30_last=2026-06-30_events=87,
symbol_lifecycle,HDFCBANK,first=2004-12-31_last=2026-06-30_events=83,
symbol_lifecycle,HDFCLIFE,first=2017-12-31_last=2026-06-30_events=35,
symbol_lifecycle,HINDALCO,first=2004-12-31_last=2026-09-30_events=87,
symbol_lifecycle,HINDUNILVR,first=2004-12-31_last=2026-09-30_events=86,
symbol_lifecycle,ICICIBANK,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,INDIGO,first=2015-12-31_last=2026-06-30_events=43,
symbol_lifecycle,INFY,first=2004-09-30_last=2026-06-30_events=88,
symbol_lifecycle,ITC,first=2004-12-31_last=2026-06-30_events=83,
symbol_lifecycle,JIOFIN,first=2023-09-30_last=2026-09-30_events=13,POTENTIAL_INDEX_ADDITION
symbol_lifecycle,JSWSTEEL,first=2005-06-30_last=2026-09-30_events=85,
symbol_lifecycle,KOTAKBANK,first=2004-12-31_last=2026-09-30_events=87,
symbol_lifecycle,LT,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,M&M,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,MARUTI,first=2004-09-30_last=2026-09-30_events=89,
symbol_lifecycle,MAXHEALTH,first=2020-06-30_last=2026-06-30_events=25,POTENTIAL_INDEX_ADDITION
symbol_lifecycle,NESTLEIND,first=2023-09-30_last=2026-09-30_events=13,POTENTIAL_INDEX_ADDITION
symbol_lifecycle,NTPC,first=2004-09-30_last=2026-06-30_events=85,
symbol_lifecycle,ONGC,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,POWERGRID,first=2007-12-31_last=2026-09-30_events=76,
symbol_lifecycle,RELIANCE,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,SBILIFE,first=2017-09-30_last=2026-06-30_events=36,
symbol_lifecycle,SBIN,first=2004-06-30_last=2026-09-30_events=86,
symbol_lifecycle,SHRIRAMFIN,first=2005-03-31_last=2026-06-30_events=77,
symbol_lifecycle,SUNPHARMA,first=2004-12-31_last=2026-09-30_events=83,
symbol_lifecycle,TATACONSUM,first=2004-12-31_last=2026-06-30_events=83,
symbol_lifecycle,TATASTEEL,first=2005-03-31_last=2026-09-30_events=80,
symbol_lifecycle,TCS,first=2004-12-31_last=2026-09-30_events=88,
symbol_lifecycle,TECHM,first=2006-12-31_last=2026-06-30_events=79,
symbol_lifecycle,TITAN,first=2006-12-31_last=2026-06-30_events=79,
symbol_lifecycle,TMPV,first=2004-09-30_last=2026-06-30_events=89,
symbol_lifecycle,TRENT,first=2005-01-31_last=2026-09-30_events=83,
symbol_lifecycle,ULTRACEMCO,first=2006-03-31_last=2026-06-30_events=80,
symbol_lifecycle,WIPRO,first=2004-09-30_last=2026-09-30_events=89,
