target,class,split,count,pct,check,mean,std,min,max,median,q1,q3,missing_count,infinite_count
reaction_class,NEGATIVE,OVERALL,364,19.24,class_distribution,,,,,,,,,
reaction_class,NEUTRAL,OVERALL,1144,60.47,class_distribution,,,,,,,,,
reaction_class,POSITIVE,OVERALL,384,20.3,class_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2015,10,22.73,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2015,23,52.27,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2015,11,25.0,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2016,42,23.86,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2016,104,59.09,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2016,30,17.05,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2017,33,18.44,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2017,112,62.57,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2017,34,18.99,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2018,41,22.28,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2018,106,57.61,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2018,37,20.11,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2019,29,15.85,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2019,112,61.2,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2019,42,22.95,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2020,42,22.58,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2020,89,47.85,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2020,55,29.57,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2021,32,16.84,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2021,118,62.11,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2021,40,21.05,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2022,26,23.64,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2022,68,61.82,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2022,16,14.55,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2023,25,12.76,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2023,138,70.41,yearly_distribution,,,,,,,,,
reaction_class,POSITIVE,YEAR_2023,33,16.84,yearly_distribution,,,,,,,,,
reaction_class,NEGATIVE,YEAR_2024,35,17.5,yearly_distribution,,,,,,,,,
reaction_class,NEUTRAL,YEAR_2024,115,57.5,yearly_distribution,,,,,,,,,
